流域面积,相对高差,平均坡度,乡县密度,雨季降雨量均值,大暴雨数量,暴雨数量,大雨数量,sand,silt,clay,LUCC,NDVI,断裂带密度,发生
16.79780006,1548,28.81010056,0,5.77531004,103.9680023,54.42010117,35,42.83330154,32,25.16670036,20,0.703867972,0.000273163,0
1.499959946,324,25.00839996,0,6.246009827,88.68039703,41.52460098,32.52460098,42.89020157,36.41040039,20.69949913,20,-0.153784007,0.0530496,0
45.30979919,2530,32.28239822,0,5.600319862,108.7190018,59.59999847,35.00239944,39.45240021,31.90480042,28.64290047,20,0.722169995,0.00160713,1
63.71440125,0,30.65110016,0,4.88820982,73,29,18,44,39,17,20,0.331907004,0.00206823,0
52.14680099,1952,30.74869919,0,6.03139019,97.69460297,47.9435997,34.98669815,49.31909943,28.82979965,21.85110092,20,0.554540992,0.00121059,0
15.51659966,1920,30.83650017,0,5.560130119,110,60.33850098,35.66149902,38.84619904,27.76919937,33.38460159,20,0.689016998,0.00584183,1
45.97040176,2891,31.59149933,0,5.160369873,87.74690247,41.51679993,24.83180046,45.13330078,31.48889923,23.37779999,20,0.65279901,0.0011887,0
40.08150101,2761,32.97829819,0,5.970129967,101.9660034,53.23199844,38.47949982,43.78379822,31.91889954,24.29730034,20,0.604920983,0.000271827,0
24.36630058,2803,34.5707016,0,5.308680058,95.10510254,47.02700043,28.7928009,43.7826004,29.9564991,26.2609005,20,0.662810981,0.00318327,0
1.42324996,775,23.00569916,0,6.104879856,98.32019806,49.62390137,38.24430084,41,32,27,20,0.0129761,0.00328754,0
18.0359993,2002,28.80050087,0,5.645480156,108.4120026,58.67670059,36.52930069,40.05260086,30.26320076,29.68420029,20,0.690096974,0.00434378,1
27.80500031,3005,31.77400017,0,5.380990028,99.32800293,50.70500183,30.83609962,40.72000122,31.71999931,27.55999947,20,0.657284021,0.000708758,1
134.5019989,198,26.19379997,0,5.032899857,79,33,21,41.60100174,33.40230179,24.99670029,20,0.367888987,3.18E-05,0
50.98899841,2528,30.20159912,0,6.113770008,99.31539917,51.09619904,39.56150055,44.04349899,31.8260994,24.1303997,20,0.528069973,0.00209527,0
2.688780069,833,30.36520004,0,5.563729763,110,60,36,39,25,36,20,0.688230991,0.0997064,0
32.93899918,2743,28.20219994,0,5.491089821,105.7580032,56.30500031,33.94720078,40.55879974,30.38240051,29.05879974,20,0.673043013,0.00337229,0
26.32279968,2983,28.90019989,0,5.251420021,94.71350098,47.0943985,29.74300003,44.31999969,32.56000137,23.12000084,20,0.612362027,0.00848665,0
1.694599986,312,28.87199974,0,6.141520023,97.584198,49.48020172,39.27230072,41,32,27,20,-0.200000003,0.0111408,0
41.56900024,2452,32.71730042,0,5.911699772,97.70610046,48.92259979,36.34280014,44.47499847,31.625,23.89999962,20,0.560382009,0.00186352,0
36.49160004,2325,28.13220024,0,5.558690071,115.1169968,64.49819946,42.64640045,38.86840057,29.68420029,31.44739914,20,0.688951015,0.000164294,1
0.403073013,230,12.82689953,0,5.505080223,120,69,45,39,25,36,80,0.269210011,0.470677,0
50.80699921,2952,31.72640038,0,5.108679771,90.33979797,46.24150085,30.72550011,43.27080154,34.25,22.47920036,20,0.627044022,0.00027861,0
42.1908989,2797,32.5760994,0,5.717060089,101.1230011,51.57550049,36.28770065,44.90240097,30.63409996,24.46339989,20,0.59265703,0.00113463,0
38.92449951,2913,28.45059967,0,5.421199799,112.788002,63.41899872,41.57339859,39.27030182,30.86490059,29.86490059,20,0.630659997,0.00515582,1
1.361420035,246,22.38680077,0,5.797049999,94,45,33,42.5,35.5,22,20,0.166271001,0.0331254,0
